Weight,City,State,Temperature,Season,Income_Level,Stress_Level,Sleep_Hours,Work_Life_Balance,Context,Recommended_Food
62,Bangalore,Karnataka,28,Autumn,Medium,Medium,9,Poor,Urban,Paneer Butter Masala
66,Bhopal,Madhya Pradesh,20,Autumn,Low,Low,7,Good,Urban,Tandoori Chicken Salad
84,Bhopal,Madhya Pradesh,29,Autumn,High,High,6,Excellent,Rural,Paneer Butter Masala
73,Agra,Uttar Pradesh,35,Winter,Low,Low,7,Poor,Rural,Quinoa Upma
68,Agra,Uttar Pradesh,37,Monsoon,Medium,High,4,Good,Urban,Pakoras with Chai
65,Kolkata,West Bengal,19,Monsoon,Low,Low,4,Good,Urban,Aloo Gobi
79,Srinagar,Jammu and Kashmir,18,Autumn,Low,Low,8,Average,Urban,Tandoori Chicken Salad
63,Indore,Madhya Pradesh,24,Autumn,High,Medium,4,Excellent,Urban,Chole Bhature
69,Ahmedabad,Gujarat,29,Summer,Low,Medium,6,Excellent,Urban,Chole Bhature
55,Pune,Maharashtra,35,Autumn,High,Low,6,Average,Rural,Oats Idli
76,Chennai,Tamil Nadu,40,Winter,Medium,Low,7,Good,Rural,Roti with Dal Tadka
52,Ahmedabad,Gujarat,10,Winter,Low,High,9,Good,Rural,Mutton Rogan Josh
77,Srinagar,Jammu and Kashmir,18,Monsoon,Medium,High,8,Good,Rural,Samosa
73,Srinagar,Jammu and Kashmir,18,Autumn,Medium,High,7,Good,Urban,Paneer Butter Masala
76,Visakhapatnam,Andhra Pradesh,31,Summer,High,Low,8,Poor,Rural,Vegetable Pulao
53,Indore,Madhya Pradesh,41,Autumn,High,Medium,9,Poor,Rural,Roti with Dal Tadka
76,Guwahati,Assam,33,Winter,Low,Medium,6,Excellent,Urban,Chole Bhature
79,Hyderabad,Telangana,16,Autumn,Medium,High,7,Excellent,Rural,Aloo Gobi
96,Kolkata,West Bengal,27,Summer,Medium,Low,8,Excellent,Rural,Sprout Salad
64,Chennai,Tamil Nadu,35,Monsoon,High,Medium,6,Excellent,Urban,Paneer Butter Masala
62,Indore,Madhya Pradesh,18,Winter,Medium,High,8,Good,Urban,Roti with Dal Tadka
62,Chennai,Tamil Nadu,34,Autumn,Medium,High,4,Good,Urban,Vegetable Pulao
59,Bhopal,Madhya Pradesh,19,Winter,Low,Medium,5,Poor,Urban,Dal Makhani
93,Bhopal,Madhya Pradesh,31,Winter,High,Medium,6,Average,Urban,Aloo Gobi
68,Indore,Madhya Pradesh,26,Autumn,High,Low,6,Excellent,Rural,Tandoori Chicken Salad
55,Ludhiana,Punjab,31,Monsoon,Medium,High,7,Excellent,Rural,Moong Dal Khichdi
87,Agra,Uttar Pradesh,10,Summer,Low,Medium,6,Excellent,Urban,Kulfi
81,Jaipur,Rajasthan,11,Autumn,Low,High,6,Good,Rural,Paneer Butter Masala
79,Pune,Maharashtra,13,Autumn,Low,Medium,7,Poor,Urban,Roti with Dal Tadka
53,Guwahati,Assam,34,Summer,High,High,9,Excellent,Rural,Kadai Paneer
72,Chandigarh,Chandigarh,42,Autumn,Medium,High,9,Poor,Rural,Kadai Paneer
88,Jaipur,Rajasthan,42,Autumn,Low,High,7,Good,Urban,Dal Makhani
77,Kolkata,West Bengal,32,Winter,Medium,Medium,5,Good,Urban,Aloo Gobi
85,Kochi,Kerala,35,Monsoon,Low,Medium,4,Average,Urban,Pakoras with Chai
69,Lucknow,Uttar Pradesh,23,Monsoon,Medium,Low,5,Good,Rural,Chole Bhature
83,Visakhapatnam,Andhra Pradesh,37,Winter,High,Medium,5,Good,Urban,Dal Makhani
51,Varanasi,Uttar Pradesh,15,Monsoon,Medium,Low,7,Poor,Rural,Moong Dal Khichdi
59,Visakhapatnam,Andhra Pradesh,14,Monsoon,High,High,7,Good,Urban,Pakoras with Chai
64,Bangalore,Karnataka,40,Monsoon,High,High,8,Poor,Rural,Samosa
58,Jaipur,Rajasthan,25,Winter,High,High,5,Good,Rural,Dal Makhani
81,Kolkata,West Bengal,40,Autumn,High,High,8,Good,Urban,Paneer Butter Masala
52,Guwahati,Assam,17,Autumn,High,Medium,6,Poor,Rural,Aloo Gobi
94,Delhi,Delhi,39,Winter,Medium,High,8,Average,Urban,Moong Dal Khichdi
94,Ludhiana,Punjab,11,Winter,Low,Low,4,Average,Urban,Aloo Gobi
84,Ahmedabad,Gujarat,28,Autumn,Low,Medium,6,Poor,Rural,Roti with Dal Tadka
94,Bhopal,Madhya Pradesh,14,Autumn,Low,Low,7,Good,Urban,Vegetable Pulao
79,Bangalore,Karnataka,27,Winter,Low,Medium,8,Good,Urban,Aloo Gobi
56,Chennai,Tamil Nadu,14,Monsoon,Medium,Medium,6,Poor,Urban,Roti with Dal Tadka
51,Pune,Maharashtra,10,Winter,Medium,Low,5,Excellent,Urban,Oats Idli
87,Kolkata,West Bengal,20,Autumn,Medium,Medium,5,Good,Urban,Roti with Dal Tadka
77,Nagpur,Maharashtra,42,Monsoon,Low,Medium,9,Good,Urban,Aloo Gobi
81,Hyderabad,Telangana,39,Monsoon,High,Medium,9,Poor,Rural,Aloo Gobi
72,Ahmedabad,Gujarat,14,Monsoon,Medium,Medium,9,Average,Rural,Moong Dal Khichdi
62,Surat,Gujarat,31,Autumn,Low,Low,9,Average,Rural,Aloo Gobi
84,Nagpur,Maharashtra,24,Winter,Medium,Low,9,Good,Rural,Sprout Salad
98,Ahmedabad,Gujarat,24,Monsoon,High,Medium,9,Average,Rural,Chole Bhature
93,Mumbai,Maharashtra,27,Autumn,Low,High,4,Excellent,Rural,Dal Makhani
92,Patna,Bihar,12,Summer,Low,Medium,6,Average,Rural,Chole Bhature
80,Surat,Gujarat,30,Winter,High,Low,9,Poor,Rural,Quinoa Upma
96,Nagpur,Maharashtra,10,Autumn,Low,High,6,Good,Rural,Paneer Butter Masala
57,Hyderabad,Telangana,11,Monsoon,Low,High,7,Excellent,Urban,Chole Bhature
98,Agra,Uttar Pradesh,30,Autumn,High,Low,9,Good,Rural,Roti with Dal Tadka
71,Surat,Gujarat,34,Autumn,High,Low,4,Good,Rural,Tandoori Chicken Salad
58,Ahmedabad,Gujarat,15,Monsoon,Low,Low,4,Good,Urban,Chole Bhature
93,Bhopal,Madhya Pradesh,42,Autumn,Low,Low,8,Average,Rural,Chole Bhature
57,Visakhapatnam,Andhra Pradesh,24,Autumn,Low,Low,4,Excellent,Urban,Quinoa Upma
69,Pune,Maharashtra,41,Summer,Medium,High,9,Average,Urban,Rajma Chawal
67,Nagpur,Maharashtra,40,Monsoon,Medium,Medium,6,Good,Rural,Vegetable Pulao
77,Patna,Bihar,12,Autumn,High,Medium,4,Good,Urban,Paneer Butter Masala
74,Varanasi,Uttar Pradesh,29,Summer,Medium,High,4,Excellent,Urban,Chole Bhature
69,Bangalore,Karnataka,36,Autumn,High,Low,6,Excellent,Urban,Roti with Dal Tadka
57,Patna,Bihar,34,Summer,High,High,4,Excellent,Rural,Roti with Dal Tadka
79,Indore,Madhya Pradesh,17,Autumn,Low,Low,9,Poor,Urban,Paneer Butter Masala
87,Jaipur,Rajasthan,24,Monsoon,High,Medium,7,Average,Urban,Paneer Butter Masala
54,Guwahati,Assam,13,Monsoon,High,Medium,5,Excellent,Urban,Samosa
82,Kochi,Kerala,31,Summer,Medium,Medium,9,Excellent,Rural,Vegetable Pulao
77,Agra,Uttar Pradesh,40,Autumn,Low,High,7,Poor,Rural,Kadai Paneer
89,Visakhapatnam,Andhra Pradesh,25,Winter,Medium,Low,6,Good,Rural,Vegetable Pulao
72,Delhi,Delhi,10,Summer,Medium,High,6,Excellent,Rural,Vegetable Pulao
68,Bangalore,Karnataka,21,Winter,High,Medium,9,Good,Rural,Gajar ka Halwa
79,Bhopal,Madhya Pradesh,17,Monsoon,Low,Medium,8,Average,Urban,Corn on the Cob (Bhutta)
62,Hyderabad,Telangana,32,Autumn,Medium,Medium,5,Good,Rural,Roti with Dal Tadka
70,Kolkata,West Bengal,19,Summer,High,Low,4,Average,Rural,Chole Bhature
68,Surat,Gujarat,13,Autumn,Low,Low,7,Excellent,Rural,Oats Idli
99,Kochi,Kerala,40,Monsoon,High,High,5,Excellent,Rural,Dal Makhani
50,Ludhiana,Punjab,31,Autumn,High,High,5,Excellent,Rural,Chole Bhature
52,Chandigarh,Chandigarh,12,Monsoon,High,High,6,Good,Urban,Roti with Dal Tadka
88,Agra,Uttar Pradesh,24,Summer,Low,High,7,Average,Rural,Vegetable Pulao
79,Jaipur,Rajasthan,21,Winter,Low,High,4,Excellent,Urban,Rajma Chawal
100,Agra,Uttar Pradesh,30,Winter,Medium,High,8,Poor,Rural,Rajma Chawal
96,Ludhiana,Punjab,36,Winter,Medium,High,4,Poor,Rural,Dal Makhani
66,Indore,Madhya Pradesh,30,Summer,Medium,Medium,5,Excellent,Urban,Aam Panna
79,Bhopal,Madhya Pradesh,25,Summer,Medium,High,5,Good,Urban,Curd Rice
83,Pune,Maharashtra,11,Monsoon,Medium,Low,9,Excellent,Rural,Corn on the Cob (Bhutta)
90,Delhi,Delhi,42,Monsoon,Low,Medium,9,Average,Rural,Paneer Butter Masala
81,Chennai,Tamil Nadu,18,Summer,Medium,High,5,Good,Urban,Aam Panna
63,Bangalore,Karnataka,30,Summer,Low,Medium,4,Excellent,Rural,Kulfi
62,Bangalore,Karnataka,29,Winter,Medium,Medium,4,Good,Urban,Chole Bhature
96,Surat,Gujarat,12,Winter,High,Medium,5,Good,Urban,Vegetable Pulao
71,Nagpur,Maharashtra,19,Autumn,Medium,High,5,Good,Rural,Vegetable Pulao
61,Bangalore,Karnataka,22,Autumn,Low,High,7,Good,Urban,Kadai Paneer
85,Nagpur,Maharashtra,18,Summer,High,Low,9,Good,Rural,Kulfi
84,Agra,Uttar Pradesh,20,Monsoon,High,Low,7,Excellent,Rural,Tandoori Chicken Salad
53,Pune,Maharashtra,18,Autumn,Medium,High,5,Good,Rural,Dal Makhani
62,Patna,Bihar,18,Winter,High,Medium,8,Excellent,Urban,Vegetable Pulao
56,Ahmedabad,Gujarat,28,Winter,Low,Low,5,Excellent,Rural,Roti with Dal Tadka
72,Nagpur,Maharashtra,17,Summer,Medium,Medium,9,Average,Urban,Aam Panna
61,Chandigarh,Chandigarh,38,Winter,High,High,8,Poor,Rural,Dal Makhani
69,Visakhapatnam,Andhra Pradesh,22,Summer,High,Low,5,Poor,Urban,Lemon Rice
61,Jaipur,Rajasthan,29,Winter,High,Low,6,Poor,Urban,Chole Bhature
50,Agra,Uttar Pradesh,40,Monsoon,Medium,Medium,4,Average,Urban,Aloo Gobi
98,Srinagar,Jammu and Kashmir,10,Winter,Medium,Medium,4,Poor,Urban,Roti with Dal Tadka
77,Bangalore,Karnataka,12,Summer,High,High,9,Average,Rural,Aloo Gobi
95,Varanasi,Uttar Pradesh,16,Monsoon,Low,Medium,7,Average,Urban,Chole Bhature
79,Mumbai,Maharashtra,17,Summer,Low,Low,5,Poor,Rural,Oats Idli
50,Agra,Uttar Pradesh,25,Autumn,Low,Medium,6,Poor,Urban,Aloo Gobi
100,Hyderabad,Telangana,30,Winter,Medium,High,4,Excellent,Rural,Dal Makhani
67,Lucknow,Uttar Pradesh,16,Winter,Low,Medium,5,Average,Urban,Sarson ka Saag with Makki di Roti
50,Jaipur,Rajasthan,42,Winter,Low,Medium,6,Good,Urban,Mutton Rogan Josh
99,Kochi,Kerala,39,Winter,High,Low,7,Excellent,Rural,Vegetable Pulao
83,Surat,Gujarat,25,Winter,Medium,Medium,9,Excellent,Rural,Roti with Dal Tadka
82,Bangalore,Karnataka,22,Autumn,Medium,Medium,5,Average,Urban,Vegetable Pulao
62,Jaipur,Rajasthan,18,Monsoon,Low,Medium,6,Good,Rural,Chole Bhature
60,Nagpur,Maharashtra,42,Monsoon,High,Medium,5,Poor,Rural,Vegetable Pulao
100,Agra,Uttar Pradesh,33,Autumn,Low,Low,6,Average,Urban,Aloo Gobi
56,Hyderabad,Telangana,41,Monsoon,Low,Medium,4,Average,Rural,Moong Dal Khichdi
100,Chennai,Tamil Nadu,14,Autumn,High,Medium,5,Excellent,Rural,Paneer Butter Masala
65,Guwahati,Assam,26,Autumn,Low,High,6,Excellent,Urban,Aloo Gobi
66,Ahmedabad,Gujarat,17,Autumn,Medium,High,4,Poor,Urban,Chole Bhature
69,Bhopal,Madhya Pradesh,14,Winter,Low,High,4,Average,Urban,Moong Dal Khichdi
84,Delhi,Delhi,11,Summer,Medium,High,9,Excellent,Rural,Sprout Salad
82,Nagpur,Maharashtra,19,Autumn,Low,High,6,Average,Rural,Moong Dal Khichdi
66,Varanasi,Uttar Pradesh,20,Winter,High,Low,8,Excellent,Urban,Vegetable Pulao
73,Agra,Uttar Pradesh,26,Monsoon,Medium,Medium,5,Good,Rural,Aloo Gobi
71,Kolkata,West Bengal,26,Monsoon,Low,Medium,8,Excellent,Urban,Vegetable Pulao
76,Varanasi,Uttar Pradesh,17,Autumn,High,Medium,7,Average,Rural,Roti with Dal Tadka
52,Lucknow,Uttar Pradesh,14,Monsoon,Medium,Medium,4,Average,Urban,Roti with Dal Tadka
83,Nagpur,Maharashtra,29,Monsoon,Low,High,6,Average,Rural,Dal Makhani
59,Mumbai,Maharashtra,26,Summer,High,High,8,Average,Urban,Sprout Salad
71,Bhopal,Madhya Pradesh,20,Autumn,Low,Low,4,Good,Urban,Roti with Dal Tadka
68,Guwahati,Assam,33,Autumn,Low,Medium,9,Poor,Rural,Paneer Butter Masala
67,Mumbai,Maharashtra,32,Winter,Medium,Low,9,Average,Rural,Sprout Salad
77,Nagpur,Maharashtra,40,Autumn,Low,Low,5,Good,Rural,Roti with Dal Tadka
96,Ludhiana,Punjab,40,Autumn,High,High,6,Average,Urban,Roti with Dal Tadka
63,Delhi,Delhi,35,Monsoon,Low,Low,4,Poor,Urban,Aloo Gobi
62,Delhi,Delhi,23,Monsoon,Low,High,9,Good,Urban,Samosa
75,Ahmedabad,Gujarat,13,Autumn,Low,Medium,9,Good,Urban,Chole Bhature
51,Pune,Maharashtra,15,Monsoon,Medium,High,9,Average,Urban,Corn on the Cob (Bhutta)
53,Chandigarh,Chandigarh,33,Monsoon,High,Low,8,Good,Urban,Moong Dal Khichdi
56,Varanasi,Uttar Pradesh,29,Winter,Medium,Medium,7,Poor,Urban,Gajar ka Halwa
96,Chennai,Tamil Nadu,24,Summer,Low,Low,4,Excellent,Urban,Sprout Salad
67,Nagpur,Maharashtra,16,Monsoon,High,High,9,Poor,Rural,Rajma Chawal
77,Guwahati,Assam,35,Winter,Medium,Low,4,Poor,Rural,Quinoa Upma
60,Mumbai,Maharashtra,33,Winter,High,High,6,Excellent,Urban,Dal Makhani
60,Hyderabad,Telangana,33,Autumn,Low,Low,6,Excellent,Rural,Aloo Gobi
63,Ludhiana,Punjab,31,Monsoon,Low,High,5,Good,Urban,Paneer Butter Masala
66,Kolkata,West Bengal,20,Winter,Medium,High,9,Average,Rural,Moong Dal Khichdi
97,Pune,Maharashtra,35,Autumn,Low,Medium,9,Average,Urban,Chole Bhature
80,Agra,Uttar Pradesh,24,Autumn,Medium,High,9,Good,Rural,Dal Makhani
82,Bangalore,Karnataka,34,Autumn,Low,Medium,7,Average,Urban,Vegetable Pulao
70,Nagpur,Maharashtra,22,Winter,Medium,Low,6,Average,Rural,Aloo Gobi
56,Bangalore,Karnataka,27,Summer,Low,High,7,Poor,Rural,Dal Makhani
61,Chandigarh,Chandigarh,30,Autumn,High,Medium,7,Excellent,Rural,Chole Bhature
56,Pune,Maharashtra,20,Summer,Low,Medium,6,Good,Urban,Kulfi
64,Kolkata,West Bengal,22,Monsoon,Medium,High,6,Poor,Urban,Moong Dal Khichdi
93,Indore,Madhya Pradesh,17,Monsoon,Medium,Low,9,Good,Urban,Samosa
91,Mumbai,Maharashtra,20,Autumn,High,High,6,Poor,Rural,Dal Makhani
78,Kolkata,West Bengal,37,Monsoon,Low,High,8,Poor,Urban,Moong Dal Khichdi
50,Lucknow,Uttar Pradesh,28,Autumn,Medium,High,4,Excellent,Rural,Vegetable Pulao
76,Ludhiana,Punjab,19,Autumn,High,High,4,Poor,Rural,Paneer Butter Masala
52,Indore,Madhya Pradesh,14,Monsoon,Medium,High,5,Poor,Rural,Corn on the Cob (Bhutta)
100,Delhi,Delhi,38,Summer,High,Medium,7,Poor,Rural,Kulfi
82,Bangalore,Karnataka,12,Winter,High,Medium,9,Excellent,Rural,Aloo Gobi
85,Visakhapatnam,Andhra Pradesh,36,Winter,Low,Low,7,Average,Rural,Roti with Dal Tadka
55,Guwahati,Assam,24,Summer,Medium,Low,4,Average,Urban,Kulfi
85,Chandigarh,Chandigarh,27,Monsoon,High,Low,7,Excellent,Urban,Moong Dal Khichdi
64,Guwahati,Assam,13,Summer,Medium,Medium,7,Good,Urban,Vegetable Pulao
83,Lucknow,Uttar Pradesh,28,Autumn,Medium,Low,8,Excellent,Rural,Sprout Salad
85,Bangalore,Karnataka,36,Winter,High,Low,9,Poor,Rural,Sarson ka Saag with Makki di Roti
99,Mumbai,Maharashtra,37,Autumn,High,High,8,Good,Urban,Chole Bhature
60,Bangalore,Karnataka,24,Autumn,Low,High,7,Good,Rural,Kadai Paneer
91,Delhi,Delhi,35,Autumn,High,High,9,Poor,Urban,Roti with Dal Tadka
63,Nagpur,Maharashtra,30,Winter,High,High,6,Average,Rural,Dal Makhani
84,Delhi,Delhi,12,Summer,Medium,Medium,5,Excellent,Rural,Sprout Salad
54,Varanasi,Uttar Pradesh,31,Autumn,Medium,Low,5,Poor,Rural,Quinoa Upma
54,Visakhapatnam,Andhra Pradesh,31,Autumn,High,Low,9,Good,Urban,Tandoori Chicken Salad
76,Agra,Uttar Pradesh,32,Autumn,Medium,Low,9,Good,Rural,Aloo Gobi
70,Pune,Maharashtra,24,Summer,Low,Medium,9,Poor,Urban,Aloo Gobi
89,Kolkata,West Bengal,21,Winter,High,Low,8,Average,Urban,Tandoori Chicken Salad
59,Agra,Uttar Pradesh,32,Autumn,Medium,Low,6,Poor,Urban,Chole Bhature
95,Lucknow,Uttar Pradesh,38,Autumn,Low,Medium,7,Good,Urban,Paneer Butter Masala
78,Ahmedabad,Gujarat,20,Summer,High,Medium,8,Good,Urban,Kulfi
96,Pune,Maharashtra,30,Monsoon,Low,High,8,Good,Rural,Roti with Dal Tadka
97,Ahmedabad,Gujarat,35,Autumn,Medium,High,7,Excellent,Rural,Paneer Butter Masala
80,Agra,Uttar Pradesh,12,Summer,High,Medium,4,Excellent,Urban,Kulfi
97,Delhi,Delhi,16,Winter,High,Medium,6,Poor,Rural,Sarson ka Saag with Makki di Roti
82,Delhi,Delhi,38,Summer,High,Low,7,Excellent,Urban,Paneer Butter Masala
73,Bangalore,Karnataka,34,Autumn,Medium,High,8,Average,Urban,Chole Bhature
77,Mumbai,Maharashtra,24,Summer,High,Medium,5,Average,Rural,Kulfi
98,Agra,Uttar Pradesh,25,Winter,Medium,High,8,Excellent,Urban,Chole Bhature
67,Ahmedabad,Gujarat,31,Winter,Low,Medium,9,Good,Rural,Dal Makhani
84,Hyderabad,Telangana,20,Autumn,High,Medium,4,Average,Urban,Chole Bhature
65,Patna,Bihar,11,Summer,Low,High,8,Excellent,Rural,Curd Rice
68,Surat,Gujarat,22,Winter,High,Medium,5,Excellent,Urban,Paneer Butter Masala
79,Surat,Gujarat,23,Monsoon,High,Medium,6,Poor,Urban,Paneer Butter Masala
52,Jaipur,Rajasthan,32,Autumn,Medium,Medium,4,Average,Rural,Roti with Dal Tadka
84,Kochi,Kerala,13,Winter,Medium,High,5,Good,Rural,Vegetable Pulao
53,Ahmedabad,Gujarat,26,Monsoon,High,Low,5,Poor,Urban,Quinoa Upma
70,Srinagar,Jammu and Kashmir,27,Monsoon,Medium,Low,4,Average,Rural,Moong Dal Khichdi
94,Hyderabad,Telangana,16,Winter,Low,High,7,Excellent,Rural,Aloo Gobi
75,Chandigarh,Chandigarh,35,Winter,High,Low,5,Poor,Urban,Sarson ka Saag with Makki di Roti
96,Chandigarh,Chandigarh,42,Winter,High,Low,6,Poor,Rural,Tandoori Chicken Salad
53,Lucknow,Uttar Pradesh,23,Summer,Medium,High,8,Good,Rural,Roti with Dal Tadka
70,Hyderabad,Telangana,29,Winter,Low,Medium,5,Excellent,Urban,Paneer Butter Masala
61,Mumbai,Maharashtra,10,Autumn,High,Medium,8,Excellent,Urban,Aloo Gobi
61,Mumbai,Maharashtra,28,Monsoon,High,Low,7,Average,Rural,Vegetable Pulao
50,Indore,Madhya Pradesh,35,Monsoon,High,High,9,Average,Urban,Chole Bhature
50,Bhopal,Madhya Pradesh,26,Winter,Low,High,9,Excellent,Urban,Mutton Rogan Josh
54,Pune,Maharashtra,10,Summer,Low,Low,7,Poor,Rural,Curd Rice
83,Surat,Gujarat,21,Monsoon,Medium,High,7,Excellent,Rural,Samosa
62,Bangalore,Karnataka,19,Winter,Low,Low,7,Average,Urban,Chole Bhature
85,Mumbai,Maharashtra,30,Monsoon,Low,Medium,4,Good,Urban,Chole Bhature
95,Chandigarh,Chandigarh,26,Monsoon,High,High,5,Good,Urban,Chole Bhature
65,Guwahati,Assam,12,Summer,Low,Low,4,Excellent,Urban,Paneer Butter Masala
81,Agra,Uttar Pradesh,15,Winter,High,Low,4,Average,Urban,Vegetable Pulao
73,Chennai,Tamil Nadu,17,Summer,Low,Low,8,Poor,Urban,Aam Panna
93,Indore,Madhya Pradesh,31,Monsoon,Medium,Low,9,Excellent,Urban,Quinoa Upma
75,Pune,Maharashtra,19,Summer,Medium,Low,9,Excellent,Urban,Quinoa Upma
96,Jaipur,Rajasthan,21,Summer,Low,High,7,Average,Rural,Curd Rice
90,Chennai,Tamil Nadu,13,Autumn,Low,Medium,4,Good,Urban,Paneer Butter Masala
83,Ludhiana,Punjab,36,Autumn,Low,High,4,Excellent,Rural,Paneer Butter Masala
58,Pune,Maharashtra,26,Winter,Low,High,9,Average,Urban,Aloo Gobi
98,Varanasi,Uttar Pradesh,13,Summer,Medium,Medium,9,Good,Rural,Chole Bhature
60,Ludhiana,Punjab,19,Summer,High,Medium,4,Excellent,Urban,Roti with Dal Tadka
82,Bangalore,Karnataka,29,Winter,High,High,7,Excellent,Urban,Kadai Paneer
82,Chandigarh,Chandigarh,35,Winter,Low,Low,8,Good,Urban,Roti with Dal Tadka
61,Hyderabad,Telangana,14,Winter,High,Low,7,Good,Urban,Mutton Rogan Josh
55,Delhi,Delhi,16,Monsoon,Medium,High,8,Excellent,Urban,Moong Dal Khichdi
53,Patna,Bihar,11,Winter,Low,Medium,8,Average,Urban,Aloo Gobi
56,Bangalore,Karnataka,42,Autumn,Medium,Medium,6,Excellent,Urban,Aloo Gobi
90,Delhi,Delhi,31,Summer,High,Medium,4,Good,Rural,Chole Bhature
54,Bangalore,Karnataka,23,Autumn,High,Medium,7,Average,Urban,Roti with Dal Tadka
92,Ahmedabad,Gujarat,19,Autumn,High,High,7,Good,Rural,Rajma Chawal
99,Ahmedabad,Gujarat,26,Autumn,Low,High,5,Poor,Rural,Vegetable Pulao
79,Lucknow,Uttar Pradesh,14,Summer,High,High,6,Good,Urban,Kulfi
73,Chandigarh,Chandigarh,40,Monsoon,Medium,Medium,4,Average,Rural,Chole Bhature
92,Jaipur,Rajasthan,18,Autumn,Low,Low,4,Excellent,Urban,Aloo Gobi
54,Chandigarh,Chandigarh,31,Monsoon,Medium,Low,5,Average,Rural,Vegetable Pulao
85,Bangalore,Karnataka,33,Autumn,Low,Low,8,Poor,Urban,Sprout Salad
51,Ahmedabad,Gujarat,35,Monsoon,Low,High,4,Excellent,Urban,Roti with Dal Tadka
73,Chandigarh,Chandigarh,11,Summer,Medium,Low,7,Average,Urban,Sprout Salad
61,Surat,Gujarat,26,Winter,Low,Medium,8,Average,Urban,Gajar ka Halwa
95,Indore,Madhya Pradesh,13,Autumn,Medium,Medium,4,Excellent,Rural,Chole Bhature
72,Chandigarh,Chandigarh,31,Monsoon,Low,High,4,Good,Urban,Rajma Chawal
89,Chennai,Tamil Nadu,20,Winter,High,Medium,5,Excellent,Rural,Roti with Dal Tadka
71,Delhi,Delhi,23,Monsoon,High,High,9,Average,Urban,Vegetable Pulao
76,Indore,Madhya Pradesh,11,Winter,High,Medium,9,Poor,Rural,Gajar ka Halwa
51,Guwahati,Assam,16,Autumn,High,Medium,9,Good,Urban,Aloo Gobi
72,Bangalore,Karnataka,33,Winter,High,Low,4,Excellent,Urban,Oats Idli
56,Ahmedabad,Gujarat,39,Autumn,Medium,Medium,9,Good,Urban,Roti with Dal Tadka
